Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),mmd
ETV2_ETV7,ETS_ETS,0.427281203650681,0.477190509989198,0.34295890204869395,0.47839137039041996,0.6072707670202167
ETV2_SPDEF,ETS_ETS,0.35530925326745794,0.46237025385914604,0.42264337548041997,0.47980297286868,0.6304267208706903
ETV5_ETV7,ETS_ETS,0.363029121520998,0.451286388190322,0.377929127902541,0.49830359590883,0.41398656142667556
FLI1_ETV7,ETS_ETS,0.343785979278797,0.31463474655537105,0.38542694977599,0.35847328896660796,0.3682281069982483
ELK1_EVX1,ETS_Homeo,0.25531794141811803,0.459616440722217,0.220529052033081,0.509680538861803,0.3078871375539287
ELK1_HOXA1,ETS_Homeo,0.284696044679486,0.5366058597807329,0.30210695657136305,0.535353177928051,0.23765527731130787
ELK1_HOXA3,ETS_Homeo,0.23323702249664102,0.287344903162837,0.24510847682900197,0.29142494007033604,0.43999521005618947
ELK1_HOXA3_2,ETS_Homeo,0.253337982400971,0.488813647470714,0.22677478866381398,0.48531659959361606,0.3000125465421821
ELK1_HOXB13,ETS_Homeo,0.299864793249342,0.568840314626004,0.23879072072030302,0.573505744534198,0.20028291333060416
ELK1_HOXB13_2,ETS_Homeo,0.208487002631488,0.45477785816920707,0.21112252966976602,0.44388161374219204,0.26288017337853636
ERF_DLX2,ETS_Homeo,0.20475502739880103,0.49315359249321705,0.219531383584793,0.478022362155503,0.13750474348208155
ERF_DLX2_2,ETS_Homeo,0.202649526613212,0.449590211738529,0.20693746166763802,0.44123221004466207,0.20664540056793818
ERF_DLX3,ETS_Homeo,0.21021357303075197,0.45920410393923206,0.18270290985051102,0.4218580913667849,0.18438796939378324
ERF_DLX3_2,ETS_Homeo,0.0974725071785982,0.491757454873529,0.0942018797033454,0.434328818933049,0.13784694159444022
ERF_HOXA3,ETS_Homeo,0.247872847997853,0.455581863474707,0.254948417885887,0.427283302760185,0.2299290482512391
ERF_HOXB13,ETS_Homeo,0.20771845730715804,0.470754065612069,0.215353196096689,0.45708607888286407,0.15458389813292156
ERF_PITX1,ETS_Homeo,0.18577136612108602,0.42279136308085397,0.0909146698024888,0.418164456258568,0.2989748656044366
ERF_PITX1_2,ETS_Homeo,0.17161013886648302,0.420274859523596,0.220936160851749,0.431441885508442,0.2287078875555198
ETV2_DLX2,ETS_Homeo,0.232918725342769,0.504490722260049,0.24605327113563397,0.5035738164711551,0.19564421512075977
ETV2_DLX2_2,ETS_Homeo,0.18497403255498301,0.49927473479798706,0.19435522367132999,0.466793524270009,0.10398438711647966
ETV2_DLX3,ETS_Homeo,0.18217361801179502,0.39224569682288296,0.189727751467266,0.39346933245741705,0.24402874192881957
ETV2_DLX3_2,ETS_Homeo,0.18926192087976396,0.47642533493759603,0.16665179825308,0.488973841304714,0.15406426611233442
ETV2_DLX3_3,ETS_Homeo,0.24742217835337602,0.478387247979677,0.25412285490591696,0.430475787476438,0.12453899408695768
ETV2_DLX3_4,ETS_Homeo,0.470271292686845,0.385745582941515,0.452116885200761,0.413745485562847,0.661995641348389
ETV2_DRGX,ETS_Homeo,0.212251296849197,0.44022949848445103,0.222661386600752,0.417807958979726,0.29343250958100625
ETV2_DRGX_2,ETS_Homeo,0.16761104445243802,0.3903768225978789,0.184782143356179,0.399564975787142,0.23353254703616452
ETV2_EVX1,ETS_Homeo,0.23251783451778,0.480096183339284,0.22279444639804502,0.484423491456181,0.22464194190509165
ETV2_GSC2,ETS_Homeo,0.27367375357971196,0.45194514743913,0.259215155249505,0.436047966262157,0.24362816431177667
ETV2_GSC2_2,ETS_Homeo,0.24271462846726197,0.45502820783016207,0.253754009323578,0.46075027323758105,0.2812793922685621
ETV2_GSC2_3,ETS_Homeo,0.290792672411173,0.45013412308045,0.274968744490978,0.431071031307006,0.16679170149361508
ETV2_GSC2_4,ETS_Homeo,0.262529536634238,0.462258633621195,0.268534736734832,0.46082882402358505,0.2947351149866831
ETV2_GSC2_5,ETS_Homeo,0.27858810547525,0.472616640435284,0.292408645214835,0.48179301505720296,0.3294666519272942
ETV2_HOXA2,ETS_Homeo,0.20642115828996,0.477605148131404,0.21466573361345898,0.446409366787336,0.23120935224915554
ETV2_HOXA2_2,ETS_Homeo,0.246036003002554,0.453806255693716,0.282694885444657,0.434117856799434,0.08278499422962722
ETV2_HOXB13,ETS_Homeo,0.181591585095119,0.45417947193299396,0.23202967729849103,0.458716183860064,0.25040215368751745
ETV2_HOXB13_2,ETS_Homeo,0.28431062714813204,0.47111537528333397,0.282899476817596,0.49199742293841,0.2690068167979637
ETV2_PITX1,ETS_Homeo,0.296491223854009,0.519199367968003,0.258698519060234,0.45452345805516997,0.13691945044313153
ETV5_DLX2,ETS_Homeo,0.21954291598739104,0.46433452349780796,0.212566373158126,0.471608049520956,0.14777529915520282
ETV5_DRGX,ETS_Homeo,0.301233955655279,0.428136639109244,0.28712627394104806,0.39815228236069605,0.3043182193444403
ETV5_DRGX_2,ETS_Homeo,0.44650227374145596,0.39339253425937504,0.409148900758671,0.355424790303552,0.6340267661473722
ETV5_EVX1,ETS_Homeo,0.22253450065964103,0.421853058219041,0.18228146891361496,0.407927632071082,0.32326039387324496
ETV5_EVX1_2,ETS_Homeo,0.259242730465888,0.4867474498563579,0.22912746961080202,0.45548421922608706,0.2262074208786657
ETV5_EVX1_3,ETS_Homeo,0.31875022261844704,0.422783648895545,0.28707866187932896,0.39026622741285494,0.2925269902224887
ETV5_HOXA13,ETS_Homeo,0.24703627410314802,0.483827981503874,0.26255806096851003,0.458157795574947,0.227971614592405
ETV5_HOXA2,ETS_Homeo,0.25686185333877204,0.499354883949558,0.238344446300823,0.46924291025139203,0.20993486310033838
ETV5_HOXA2_2,ETS_Homeo,0.24995696306986,0.323851935812268,0.223259338222965,0.308874750491057,0.23755900719484763
ETV5_HOXA2_3,ETS_Homeo,0.18916573198585504,0.42389875920407205,0.17468318134851601,0.40215885488782793,0.3724160572222407
ETV5_HOXB13,ETS_Homeo,0.252755425969579,0.439226620481147,0.262881248843033,0.46547051356776,0.2840314022175937
FLI1_DLX2,ETS_Homeo,0.27427000124644,0.44569827995526,0.287388798794699,0.43179808786842294,0.4167440524665988
FLI1_DLX2_2,ETS_Homeo,0.23826837832059,0.441482300852993,0.245978433097075,0.437325365791267,0.27799748895966947
