Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),motif_distance,deepSyn_motif_distance,diff_distance,family_name
FLI1_FIGLA,ETS_bHLH,0.309961502194834,0.40203559463233896,0.291070331353117,0.40527729832210996,0.2486231949941545,0.11458515282827762,0.3237666073629846,ETS_bHLH
FLI1_MAX,ETS_bHLH,0.38729354663044496,0.259614145697134,0.169916318204333,0.38798738493708795,0.5430397950439714,0.12031592956802055,0.4270428129727056,ETS_bHLH
FLI1_TCF3,ETS_bHLH,0.290274872946578,0.418694834755698,0.2040239402259381,0.34272158722816604,0.2799861755053286,0.1560304563617099,0.2544802062938022,ETS_bHLH
ELK1_TEF,ETS_bZIP,0.108962000411466,0.479099203105866,0.10944063340641999,0.477955764354401,0.15178958280950447,0.09626737411873833,0.0560634881480032,ETS_bZIP
ERF_CEBPD,ETS_bZIP,0.150014001933578,0.5104061752174099,0.14384727921827806,0.440657221844281,0.16589343937965853,0.11398041091315342,0.05926545496500241,ETS_bZIP
ETV2_CEBPD,ETS_bZIP,0.12591057457494698,0.46480125831914904,0.162426003456704,0.44774597253149895,0.17386428497288214,0.13037878660552213,0.04559789285864016,ETS_bZIP
ETV2_TEF,ETS_bZIP,0.10611848698256901,0.45938817798302395,0.118284553905889,0.47152793917256103,0.1504156976389528,0.09761788966801987,0.051757204949283986,ETS_bZIP
ETV2_TEF_2,ETS_bZIP,0.21291026522566397,0.37330763763006797,0.198808115666759,0.360580266202319,0.43629119127604465,0.22629865045166395,0.16468295338067454,ETS_bZIP
ETV5_CEBPD,ETS_bZIP,0.0953261212205219,0.424548270980746,0.0973762508753301,0.4246807037622221,0.13239925020294074,0.09702237257570943,0.036816538630487484,ETS_bZIP
FLI1_CEBPB,ETS_bZIP,0.200052827632118,0.474886496199424,0.239656069322052,0.47234623114193997,0.23666625062835317,0.1050620670719035,0.14057542336061668,ETS_bZIP
FLI1_CEBPD,ETS_bZIP,0.201975953631442,0.50008897463504,0.24496223023830802,0.488896919630285,0.22998575412224517,0.12294599458433908,0.12042784694009527,ETS_bZIP
ETV2_RFX5,ETS_RFX,0.1817778565315,0.424915940125145,0.22761517800108802,0.34480206468505503,0.306976737922082,0.2099783336372341,0.0525105273899463,ETS_RFX
ETV2_RFX5_2,ETS_RFX,0.1819106708898469,0.372023160847985,0.289845923354255,0.33318139393971896,0.2773761934875754,0.19291243692948604,0.10986183042114486,ETS_RFX
ETV2_RFX5_3,ETS_RFX,0.146839736532729,0.40172335125300496,0.17708687392402306,0.35003105843330395,0.19268506882828512,0.20592414100377826,-0.013239072175493137,ETS_RFX
ETV2_RFX5_4,ETS_RFX,0.13958676346312698,0.384376901041371,0.19362796855246106,0.36355712157014297,0.22941803598804433,0.1960670062953426,0.2415130786633733,ETS_RFX
ETV2_SOX15,ETS_SOX,0.21566740585740696,0.41079491471901597,0.21566740585740696,0.41079491471901597,0.4700457177555846,0.22395735172477668,0.08104241864583869,ETS_SOX
ETV2_SOX15_2,ETS_SOX,0.124448207743244,0.374880722311074,0.153847961744564,0.37004997254926203,0.3608862356582083,0.2259901973489455,0.03528997084662466,ETS_SOX
