name1,name2,nameOut,case,isRC,loc1,loc2,quality1,quality2,quality,overlapLen
HOXA3,EOMES,HOXA3_EOMES,3,1,5,-4,0.356845825371563,0.337397075494292,0.6942429008658549,4
HOXA3,PAX5,HOXA3_PAX5,1,0,-2,5,0.37437627266391904,0.161215306001398,0.5355915786653179,3
HOXB13,ELK1,HOXB13_ELK1,2,0,6,0,0.428506872744853,0.24755741618701202,0.676064288931865,4
HOXB13,EOMES,HOXB13_EOMES,2,0,5,-1,0.457562389892874,0.42248734841006896,0.8800497383029442,7
HOXB13,EOMES,HOXB13_EOMES_2,4,0,-1,5,0.448841893087916,0.40640981028289,0.855251703370806,5
HOXB13,ETV1,HOXB13_ETV1,2,0,6,0,0.509435437785743,0.14734125405152199,0.6567766918372651,4
HOXB13,ONECUT2,HOXB13_ONECUT2,4,0,-1,6,0.48992003782596,0.34368425521312795,0.8336042930390879,4
HOXB13,TBX21,HOXB13_TBX21,2,0,8,-1,0.45424003241390104,0.18570085796848002,0.639940890382381,1
HOXB13,TBX21,HOXB13_TBX21_2,2,0,7,-1,0.519739092447889,0.283090427538976,0.8028295199868649,2
HOXB13,TBX21,HOXB13_TBX21_3,4,1,-2,7,0.479098682607147,0.29512510247840196,0.774223785085549,2
HOXB13,TBX3,HOXB13_TBX3,4,0,-1,8,0.378495804270469,0.17803275244461,0.556528556715079,2
HOXB13,TBX3,HOXB13_TBX3_2,4,0,-1,10,0.35180384754252897,0.194245346896597,0.546049194439126,0
HOXB2,ELF1,HOXB2_ELF1,2,0,8,-3,0.383076734358425,0.21932557447309098,0.602402308831516,1
HOXB2,ELF1,HOXB2_ELF1_2,1,0,0,10,0.15244949857807902,0.30135334143503806,0.453802840013117,0
HOXB2,ELF1,HOXB2_ELF1_3,1,0,-1,10,0.178575753652443,0.28983897997323105,0.46841473362567404,-1
HOXB2,ELF1,HOXB2_ELF1_4,3,1,9,0,0.19876141206391099,0.307074116950762,0.505835529014673,3
HOXB2,ELF1,HOXB2_ELF1_5,3,1,10,0,0.227317220717629,0.352130801956897,0.579448022674526,2
HOXB2,ELK1,HOXB2_ELK1,2,0,6,0,0.38254001514586,0.125923959456452,0.508463974602312,4
HOXB2,ELK1,HOXB2_ELK1_2,3,1,7,0,0.29143074431409,0.0778408904332833,0.36927163474737396,3
HOXB2,ELK3,HOXB2_ELK3,2,0,9,0,0.375715170627425,0.12892017360393598,0.504635344231362,1
HOXB2,ELK3,HOXB2_ELK3_2,3,1,10,0,0.291834236667018,0.109529676905198,0.401363913572216,0
HOXB2,EOMES,HOXB2_EOMES,4,1,-2,0,0.289001255683708,0.4084509692418571,0.697452224925565,8
HOXB2,EOMES,HOXB2_EOMES_2,3,1,5,-4,0.31668061353133503,0.33022438408280896,0.646904997614144,4
